Headline,Date,Author,Vertical,Description
Chandra Bose to rethink over continuing in BJP if concerns over secularism not addressed,"Jan 24, 2020",Reporter,OTHER STATES,"KOLKATA: West Bengal BJP vice-president Chandra Bose, who is the grandnephew of Netaji Subhas Chandra Bose, on Thursday said he is…"
Venue of Jan 25 night anti-CAA protest shifted from Charminar after police rejects permission:…,"Jan 24, 2020",Reporter,NATIONAL,HYDERABAD: AIMIM president Asaduddin Owaisi on Thursday said a protest meeting proposed at the historic Charminar here on January…
"RJD engages in poster war against Nitish Kumar, Sushil Kumar Modi, calls them ‘trouble…","Jan 24, 2020",Reporter,OTHER STATES,PATNA: The Rashtriya Janata Dal (RJD) put up a new poster outside its party headquarters on Thursday attacking at Bihar CM Nitish…
New Chinese virus not a global health emergency yet: WHO,"Jan 24, 2020",Reporter,NATIONAL,GENEVA: A deadly virus outbreak that has prompted China to lock down some 20 million people does not yet constitute an…
Assam gets new political party ‘Asom Gana Mancha’,"Jan 24, 2020",Reporter,FEATUREDNATIONAL,GUWAHATI: Assam has a new political party called “Asom Gana Mancha” (AGM) amidst talks by All Assam Students’ Union (AASU) that it…
Coronavirus death toll moves to 25 with 830 confirmed cases: Chinese government,"Jan 24, 2020",Reporter,FEATUREDWORLD,"BEIJING: The death toll in China's viral outbreak has risen to 25, with the number of confirmed cases also leaping to 830, the…"
"Resolutions against CAA ‘political gesture’, states hardly have any role: Shashi Tharoor","Jan 23, 2020",Reporter,FEATUREDOTHER STATES,"KOLKATA: Senior Congress leader Shashi Tharoor said that bringing in resolutions against the CAA is more of a ""political gesture""…"
Police brief Maharashtra government about probe in Bhima-Koregaon case,"Jan 23, 2020",Reporter,OTHER STATES,MUMBAI: Maharashtra Police on Thursday informed state Deputy Chief Minister Ajit Pawar and Home Minister Anil Deshmukh about the…
Kangana Ranaut slam Indira Jaising for asking Nirbhaya’s mother to forgive rapists,"Jan 23, 2020",Reporter,OTHER STATES,MUMBAI: Bollywood actor Kangana Ranaut on Thursday lashed out at senior lawyer Indira Jaising for asking Nirbhaya's mother to…
‘Free to go’: Nitish Kumar slams Pavan Varma over JD(U)-BJP tie-up for Delhi polls,"Jan 23, 2020",Reporter,FEATUREDOTHER STATES,PATNA: Bihar Chief Minister Nitish Kumar on Thursday slammed party leader Pavan Varma for publicly questioning the JD(U)'s tie-up…
Tata Altroz Launched In India Starting At Rs 5.29 Lakh Ex-Showroom,"Jan 23, 2020",Reporter,AUTOMOTIVE,"Tata Motors has just launched the all new Altroz starting at Rs 5.29 lakh (ex-showroom, India. The company unveiled the Altroz…"
"Apple’s ITP Technology Poses Security Risks To Safari, Claims Google","Jan 23, 2020",Reporter,TECHNOLOGY,Apple has always been one of the most reliable brands when it comes to privacy protection. But the latest research by Google looks…
Lenovo K11 Clears NBTC Certification: Might Hit Shelves Soon,"Jan 23, 2020",Reporter,TECHNOLOGY,Lenovo might soon bring a new smartphone in its budget-friendly 'K' series. The upcoming handset is said to be the Lenovo K1 which…
Benefits of Drinking Green Tea Before Bed,"Jan 23, 2020",Reporter,LIFESTYLE,Green tea which is made from the Camellia sinensis plant has been popular among the masses for several decades for its immensely…
Street Dancer 3D Vs Panga Box Office Prediction (Day 1),"Jan 23, 2020",Reporter,ENTERTAINMENT,"This Friday, Varun Dhawan-Shraddha Kapoor's Street Dancer 3D and Kangana Ranaut's Panga will lock horns at the box office. While…"
Gul Makai Song Haq Maula: H.E. Amjad Khan’s Lyrics & Piyush Mishra’s Vocals Touch…,"Jan 23, 2020",Reporter,ENTERTAINMENT,"After the heart-stirring trailer of Gul Makai, the makers have now released the first song titled 'Haq Maula'. The film stars Reem…"
Raising pro-Azadi slogans will result in sedition charges: Yogi Adityanath warns CAA protesters,"Jan 23, 2020",Reporter,FEATUREDNATIONAL,"KANPUR: Uttar Pradesh Chief Minister Yogi Adityanath on Wednesday criticised the ongoing protests against the new citizenship law,…"
SC to continue hearing Thursday petitions challenging abrogation of Article 370,"Jan 23, 2020",Reporter,FEATUREDNATIONAL,NEW DELHI: The Supreme Court on Thursday will continue hearing today various pleas challenging the abrogation of Article 370 of…
Zion Williamson lights up fourth quarter on NBA debut for Pelicans,"Jan 23, 2020",Reporter,SPORTS,"New York, January 23: New Orleans Pelicans sensation Zion Williamson finally made his NBA debut on Wednesday (January 22) and it…"
England celebrate innings win over South Africa,"Jan 23, 2020",Reporter,SPORTS,PORT ELIZABETH: England completed a comprehensive win by an innings and 53 runs on the fifth day of the third Test against South…
Hugo Lloris makes Tottenham comeback after three months against Norwich,"Jan 23, 2020",Reporter,SPORTS,LONDON: Tottenham captain Hugo Lloris returned for his first appearance under Jose Mourinho against Norwich on Wednesday after…
"Over 500 cases reported, China halts flights, trains out of Coronavirus outbreak city","Jan 23, 2020",Reporter,WORLD,"BEIJING: Authorities will suspend on Thursday flights and trains out of the Chinese city at the centre of a deadly virus outbreak,…"
"Sensex rises over 250 points; L&T, Axis Bank rally 3 per cent","Jan 23, 2020",Reporter,BUSINESS,"MUMBAI: Market benchmark Sensex rose over 250 points on Thursday tracking gains in L&T, Axis Bank and Infosys, despite massive…"
Tata Motors enters premium hatchback segment with Altroz,"Jan 23, 2020",Reporter,BUSINESS,"To compete with the likes of Maruti Suzuki Baleno and Hyundai Elite i20, homegrown auto major Tata Motors on Wednesday launched…"
Rupee slips 3 paise against US dollar in early trade,"Jan 23, 2020",Reporter,BUSINESS,MUMBAI: The rupee depreciated by 3 paise to 71.22 against the US dollar in early trade on Thursday amid rising demand for the…
"‘Open more private hospitals in next five years, make healthcare a fundamental right’:…","Jan 23, 2020",Reporter,DELHI,NEW DELHI:  A high-level panel on reforms in the health sector has come up with radical suggestions like shifting healthcare from…
UK lawmakers remove child-migrants promise from Brexit bill,"Jan 23, 2020",Reporter,WORLD,"LONDON: British lawmakers have overturned changes to the government's flagship Brexit bill made by Parliament's House of Lords,…"
UK Parliament ratifies Brexit divorce law,"Jan 23, 2020",Reporter,WORLD,"LONDON: After years of acrimonious debate, British lawmakers on Wednesday finally approved the terms of their country's historic…"
Pakistan’s ability to back terrorists diminished: US report,"Jan 23, 2020",Reporter,WORLD,NEW YORK: Pakistan's capability to intervene militarily in Kashmir has been reduced and backing militancy would be a costly…
